name,County,pop_range,impact_score,access_tier,dist_to_finance_km,Town_Latitude,Town_Longitude,walking_hours
Kamaindi,Tharaka-Nithi,500 - 10k people,46.0,Tier 4: Critical Desert (>10km),22.882971887963603,-0.36660000470477727,37.850000001489214,4.6
Gichage,Nakuru,500 - 10k people,20.0,Tier 3: Underserved (5-10km),9.991760708527625,-0.3333000061465962,35.85000000185246,2.0
Githima,Nyandarua,500 - 10k people,21.0,Tier 4: Critical Desert (>10km),10.53142872567482,-0.36660000573275137,36.35000000175111,2.1
Chuka,Tharaka-Nithi,10k - 100k people,10.0,Tier 1: High Access (0-2km),0.3839192460523435,-0.3332938049219247,37.65000210154898,0.1
Ainamoi,Kericho,500 - 10k people,15.0,Tier 3: Underserved (5-10km),7.7177386285451215,-0.3000000066011473,35.28330000195915,1.5
Ainemoi,Kericho,500 - 10k people,15.0,Tier 3: Underserved (5-10km),7.7177386285451215,-0.3000000066011473,35.28330000195915,1.5
Kathageri,Embu,10k - 100k people,160.0,Tier 3: Underserved (5-10km),7.96462502114719,-0.39058380482283295,37.59966140151898,1.6
Korbesa,Isiolo,500 - 10k people,91.0,Tier 4: Critical Desert (>10km),45.30643949848069,0.24999999417266489,38.35000000182759,9.1
Kibugwa,Tharaka-Nithi,500 - 10k people,9.0,Tier 2: Moderate Access (2-5km),4.683899846962869,-0.36525140487071195,37.615966401533306,0.9
KASERE 'A',Kisumu,500 - 10k people,22.0,Tier 4: Critical Desert (>10km),10.802346972515451,-0.32240570677057145,34.941757401993485,2.2
Kadenge,Siaya,500 - 10k people,24.0,Tier 4: Critical Desert (>10km),11.894389500480624,0.023599991890633647,34.18580000231427,2.4
Oltulili,Meru,500 - 10k people,20.0,Tier 3: Underserved (5-10km),9.766628108442447,0.016599993906193388,37.16660000187401,2.0
Luanda,Vihiga,10k - 100k people,10.0,Tier 1: High Access (0-2km),0.26936050885354157,0.024979092146257445,34.58511940226481,0.1
Baleni,Tana River,50 - 500 people,7.1,Tier 4: Critical Desert (>10km),35.28072896401918,-1.178468901381147,40.01115960047188,7.1
Emmaloba,Vihiga,500 - 10k people,5.0,Tier 2: Moderate Access (2-5km),2.5318485424021127,0.033299992113441576,34.56660000227256,0.5
Kabati,Laikipia,500 - 10k people,37.0,Tier 4: Critical Desert (>10km),18.60410339096892,0.19999999286791906,36.31660000213601,3.7
Rosoga Center,Baringo,500 - 10k people,26.0,Tier 4: Critical Desert (>10km),12.93150758528815,0.09920199280588267,35.85693000213746,2.6
Tumeya,Elgeyo-Marakwet,500 - 10k people,45.0,Tier 4: Critical Desert (>10km),22.29306671947632,0.28329999217161556,35.60000000229714,4.5
Sega,Siaya,10k - 100k people,10.0,Tier 1: High Access (0-2km),0.38963842463520365,0.25579999133054077,34.22580000245794,0.1
Maina,Laikipia,500 - 10k people,6.0,Tier 2: Moderate Access (2-5km),2.966301523087091,0.06312169323176818,36.35289670203802,0.6
Tungu,Tharaka-Nithi,500 - 10k people,8.0,Tier 2: Moderate Access (2-5km),4.049005424930988,-0.30000000501173735,37.63330000157486,0.8
Sondu,Kericho,10k - 100k people,0.0,Tier 1: High Access (0-2km),0.10432997587741588,-0.38898620656538746,35.01153600194089,0.0
Sosiot,Kericho,500 - 10k people,25.0,Tier 4: Critical Desert (>10km),12.655398795670918,-0.36206070652595074,35.170810001935344,2.5
Rukurire,Embu,500 - 10k people,24.0,Tier 4: Critical Desert (>10km),11.943159949152658,-0.3833017048742318,37.550003401533004,2.4
Poulton,Nakuru,500 - 10k people,34.0,Tier 4: Critical Desert (>10km),16.77671627873577,-0.3500000062616215,35.616600001877224,3.4
Thuthuriki,Laikipia,500 - 10k people,70.0,Tier 4: Critical Desert (>10km),34.94295479299133,0.06659999350709266,36.76660000197452,7.0
Roka,Tana River,500 - 10k people,188.0,Tier 4: Critical Desert (>10km),93.87960920824577,-1.6000000010771998,39.20000000036712,18.8
Nangina,Busia,500 - 10k people,28.0,Tier 4: Critical Desert (>10km),13.9946834858836,0.2762999911985982,34.10330000248563,2.8
Eldere,Isiolo,500 - 10k people,173.0,Tier 4: Critical Desert (>10km),86.31152390725464,0.5962879936666599,38.8398022019856,17.3
Baragulu,Siaya,500 - 10k people,10.0,Tier 2: Moderate Access (2-5km),4.9632124467054775,0.02749999196513316,34.3161000023006,1.0
